Speech,Date,Party,President,Adjusted Word Score (%),Total Economic Justice Words,Total Words
109,12/3/1901,Republican,Theodore Roosevelt,0.47%,96,"20,595"
110,12/2/1902,Republican,Theodore Roosevelt,0.48%,49,"10,275"
111,12/7/1903,Republican,Theodore Roosevelt,0.32%,51,"15,969"
112,12/6/1904,Republican,Theodore Roosevelt,0.61%,112,"18,413"
113,12/5/1905,Republican,Theodore Roosevelt,0.47%,125,"26,427"
114,12/3/1906,Republican,Theodore Roosevelt,0.62%,156,"25,033"
115,12/3/1907,Republican,Theodore Roosevelt,0.42%,120,"28,910"
116,12/8/1908,Republican,Theodore Roosevelt,0.71%,145,"20,557"
117,12/7/1909,Republican,William H. Taft,0.32%,46,"14,573"
118,12/6/1910,Republican,William H. Taft,0.08%,6,"7,254"
119,12/5/1911,Republican,William H. Taft,0.29%,73,"25,045"
120,12/3/1912,Republican,William H. Taft,0.21%,56,"26,356"
121,12/2/1913,Democrat,Woodrow Wilson,0.29%,11,"3,734"
122,12/8/1914,Democrat,Woodrow Wilson,0.21%,10,"4,830"
123,12/7/1915,Democrat,Woodrow Wilson,0.15%,12,"8,163"
124,12/5/1916,Democrat,Woodrow Wilson,0.36%,8,"2,199"
125,12/4/1917,Democrat,Woodrow Wilson,0.39%,16,"4,112"
126,12/2/1918,Democrat,Woodrow Wilson,0.40%,23,"5,745"
127,12/2/1919,Democrat,Woodrow Wilson,0.66%,33,"4,967"
128,12/7/1920,Democrat,Woodrow Wilson,0.42%,12,"2,840"
129,12/6/1921,Republican,Warren Harding,0.66%,39,"5,928"
130,12/8/1922,Republican,Warren Harding,0.47%,28,"6,021"
131,12/6/1923,Republican,Calvin Coolidge,0.41%,29,"7,000"
132,12/3/1924,Republican,Calvin Coolidge,0.42%,30,"7,204"
133,12/8/1925,Republican,Calvin Coolidge,0.26%,30,"11,372"
134,12/7/1926,Republican,Calvin Coolidge,0.28%,30,"10,686"
135,12/6/1927,Republican,Calvin Coolidge,0.20%,18,"9,139"
136,12/4/1928,Republican,Calvin Coolidge,0.32%,27,"8,439"
137,12/3/1929,Republican,Herbert Hoover,0.51%,59,"11,530"
138,12/2/1930,Republican,Herbert Hoover,0.83%,40,"4,825"
139,12/8/1931,Republican,Herbert Hoover,0.79%,47,"5,936"
140,12/6/1932,Republican,Herbert Hoover,0.47%,5,"1,063"
141,1/3/1934,Democrat,Franklin D. Roosevelt,1.02%,24,"2,359"
142,1/4/1935,Democrat,Franklin D. Roosevelt,0.83%,31,"3,737"
143,1/3/1936,Democrat,Franklin D. Roosevelt,0.34%,14,"4,115"
144,1/6/1937,Democrat,Franklin D. Roosevelt,0.55%,16,"2,888"
145,1/3/1938,Democrat,Franklin D. Roosevelt,0.90%,45,"4,979"
146,1/4/1939,Democrat,Franklin D. Roosevelt,0.57%,23,"4,022"
147,1/3/1940,Democrat,Franklin D. Roosevelt,0.35%,12,"3,412"
148,1/6/1941,Democrat,Franklin D. Roosevelt,0.31%,11,"3,541"
149,1/6/1942,Democrat,Franklin D. Roosevelt,0.19%,7,"3,768"
150,1/7/1943,Democrat,Franklin D. Roosevelt,0.45%,22,"4,912"
151,1/11/1944,Democrat,Franklin D. Roosevelt,0.66%,27,"4,088"
152,1/6/1945,Democrat,Franklin D. Roosevelt,0.42%,37,"8,729"
153,1/21/1946,Democrat,Harry S. Truman,0.80%,235,"29,307"
154,1/6/1947,Democrat,Harry S. Truman,0.88%,56,"6,353"
155,1/7/1948,Democrat,Harry S. Truman,0.95%,51,"5,349"
156,1/5/1949,Democrat,Harry S. Truman,0.67%,24,"3,597"
