,speech,date,president,charindex,target,wordcount,context
0,109,1901-12-03 00:00:00,Theodore Roosevelt,13511,distribution,20595,"... of the twentieth, with very serious social problems. The old laws, and the old customs which had almost the binding force of law, were once quite sufficient to regulate the accumulation and distribution of wealth. Since the industrial changes which have so enormously increased the productive power of mankind, they are no longer sufficient. The growth of cities has gone on beyond ..."
1,109,1901-12-03 00:00:00,Theodore Roosevelt,37630,distribution,20595,"... which we have dealings, would be of political as well as commercial benefit. From every standpoint it is unwise for the United States to continue to rely upon the ships of competing nations for the distribution of our goods. It should be made advantageous to carry American goods in American-built ships. At present American shipping is under certain great disadvantages when put in competition ..."
2,109,1901-12-03 00:00:00,Theodore Roosevelt,50691,distribution,20595,"... Government. The lands reclaimed by them should be reserved by the Government for actual settlers, and the cost of construction should so far as possible be repaid by the land reclaimed. The distribution of the water, the division of the streams among irrigators, should be left to the settlers themselves in conformity with State laws and without interference with those laws or with ..."
3,109,1901-12-03 00:00:00,Theodore Roosevelt,95920,employment,20595,"... passage of a law which will extend the classified service to the District of Columbia, or will at least enable the President thus to extend it. In my judgment all laws providing for the temporary employment of clerks should hereafter contain a provision that they be selected under the Civil Service Law. It is important to have this system obtain at home, but it is even more important to ..."
4,109,1901-12-03 00:00:00,Theodore Roosevelt,6729,equal,20595,"... similar fashion the embodiment of the law-abiding purpose and practice of the people of the town. On no conceivable theory could the murder of the President be accepted as due to protest against ""inequalities in the social order,"" save as the murder of all the freemen engaged in a town meeting could be accepted as a protest against that social inequality which puts a malefactor in jail. ..."
5,109,1901-12-03 00:00:00,Theodore Roosevelt,6879,equal,20595,"... be accepted as due to protest against ""inequalities in the social order,"" save as the murder of all the freemen engaged in a town meeting could be accepted as a protest against that social inequality which puts a malefactor in jail. Anarchy is no more an expression of ""social discontent"" than picking pockets or wife-beating. The anarchist, and especially the anarchist in the United ..."
6,109,1901-12-03 00:00:00,Theodore Roosevelt,38516,equal,20595,"... and that the standard of living on our ships is far superior to the standard of living on the ships of our commercial rivals. Our Government should take such action as will remedy these inequalities. The American merchant marine should be restored to the ocean. The Act of March 14, 1900, intended unequivocally to establish gold as the standard money and to maintain at a parity ..."
7,109,1901-12-03 00:00:00,Theodore Roosevelt,40824,equal,20595,"... known as the Interstate Commerce Act. The cardinal provisions of that act were that railway rates should be just and reasonable and that all shippers, localities, and commodities should be accorded equal treatment. A commission was created and endowed with what were supposed to be the necessary powers to execute the provisions of this act. That law was largely an experiment. Experience has ..."
8,109,1901-12-03 00:00:00,Theodore Roosevelt,48627,equal,20595,"... is therefore an essential condition of water conservation. The forests alone cannot, however, fully regulate and conserve the waters of the arid region. Great storage works are necessary to equalize the flow of streams and to save the flood waters. Their construction has been conclusively shown to be an undertaking too vast for private effort. Nor can it be best accomplished by the ..."
9,109,1901-12-03 00:00:00,Theodore Roosevelt,55714,equal,20595,"... through the enlightenment of the people most concerned. The larger development which national aid insures should, however, awaken in every arid State the determination to make its irrigation system equal in justice and effectiveness that of any country in the civilized world. Nothing could be more unwise than for isolated communities to continue to learn everything experimentally, instead of ..."
